123662	695	1998-02-13 10:35:00-05	Government Orders	Supply	3242	Hon. Jim Peterson	<p>Fair taxes. If fair taxes is the issue, then let us look at Canada's overall tax structure.</p>\n<p>We all know that in the global world we have to have a tax structure which is relatively competitive with those of our neighbours. When we look at Canada among the G-7 countries, we are square in the middle of the seven. Our total tax burden is 36% of GDP. At the highest end there is France where it is 43%. At the lowest end there is the U.S.A. where it is 28%.</p>\n<p>The competitive realities are that we cannot get too far out of line with the Americans to the south. Our overall tax burden is about 30% higher than that of Americans. However, I would never advocate that we should go down to American levels. Part of the difference is because we have a health care system which the Americans do not have. It gives Canadians tremendous security and it also gives us a competitive edge over the Americans.</p>\n<p>Nevertheless when we consider our comparative tax levels we will find that the personal income tax in Canada is 13.4% of our gross domestic product and in the U.S. it is 9.8%. In Japan it is 6.4%. On top of that we have a capital gains tax which is among the highest in the western world.</p>\n<p>The progressivity of our tax system is something which I think hon. members from the NDP should take into consideration. They have great envy for the rich. Maybe a lot of people do. However, these are the facts. Only 2% of tax filers in Canada have incomes over $100,000 and they pay 21% of all federal taxes. The lowest 60%, those with incomes under $25,000, pay only 4% of our taxes. We believe that a highly progressive tax system is an ingredient in creating equality of opportunity and fairness, and we do not back away from that one bit.</p>\n<p>What have we heard in terms of solutions? I have talked about their cry for tax fairness. Do they want to tax the rich more? That alternative is there. Ours is still the most highly progressive personal income tax system in the western world.</p>\n<p>If the concern of NDP members is for those who have been marginalized in our society or for those who have the greatest difficulty in coping, then we have no dispute with them. We would hope that they would support the measures that we have brought forward.</p>\n<p>One of our major concerns has been low income working families. The Caledon Institute and studies by the finance department revealed that there was a welfare wall. A family on welfare taking in all of the benefits provided by governments was about $3,000 ahead of a family with two children and parents working at low wage levels.</p>\n<p>That is what was called the welfare wall. It was a barrier to leaving welfare and going into the workforce. We addressed the matter not by lowering benefits to the lower income people on welfare but by increasing the tax incentives for those who were actually working.</p>\n<p>This is why we brought in the working income supplement. This is why in an agreement with the provinces we have entered into the national child tax benefit. This government has committed $850 million to the child tax benefit which goes to those low income families. We promised during the course of our mandate to beef that up by another $850 million. This is at a time when all parties in this House recognize that our deficit and debt are major economic problems and challenges for us.</p>\n<p>At the same time, we have increased the tax incentives available to Canadians with disabilities. We recognize that the costs of working and being disabled, or existing and being disabled are very high.</p>	12	638	227	f		\N						jim-peterson-2	/debates/1998/2/13/jim-peterson-2/
3860	1029	1994-02-10 10:05:00-05	Government Orders	Supply	3281	Mr. Crête	<p>Mr. Speaker, the Official Opposition is using the first business day of which it is controlling the agenda to deal with the issue of federal government expenditures. In doing so, we are responding to an expectation that was repeatedly expressed by the people during the election campaign. The urgency of the situation speaks for itself. The deficit is reaching a record high and is out of control to such an extent that, as a percentage of the gross national product, it is 63 per cent higher in Canada than the average in the G-7 countries.</p>\n<p>Half of this deficit is due to structural problems. Canada's structural problems are legion and most of them are related to the very structure of our federalism. For instance, interference of the federal government in the areas of provincial jurisdiction as well as a loose definition of the jurisdictions of each of those levels of government lead to numerous duplications, a waste of energy and conflicting policies. Other structural problems simply reflect bad government managemnent or policies.</p>\n<p>For instance, Canada invests very little in research and development which is a major sector if we are going to try and meet the challenges of foreign competition. Furthermore, at the international level, Canada has a poor record on public debt management. In fact, since 1989, government expenditures in Canada have increased more rapidly than those of all G-7 countries.</p>\n<p>According to the review of The Report of the Auditor General of Canada made by Mr. Yves Séguin, bad public expenditures management has resulted in a $5 billion loss each year for the past three years.</p>\n<p>Add to that the cost of overlappings. Sixty-seven per cent of the federal programs overlap provincial programs to a certain extent. They account for 65 per cent of all government expenditures, besides payments made for the public debt and unemployment insurance. For example, if Quebec took over the present federal programs and offered the same services, the savings would amount to $233 million for transportation and communication, $289 million for expenses related to collection of custom duties, income taxes and other taxes, and $250 million in salaries, all that for one year and for Quebec alone.</p>\n<p>It can be reasonably estimated that just by eliminating duplication of services we would save two to three billion dollars. These figures are the financial result of duplications in the services provided by both governments, plus the increased need for co-ordination created by the claims of each government. The overlaps reduce the efficiency of government measures due to the competitive, if not conflicting, nature of federal-provincial relations. Witness the flag wars that have been waged by the two sides for the last 20 years.</p>\n<p>In June 1988, Quebec and Ottawa signed an agreement on regional economic development which was to result in an investment of $820 million over five years, divided as follows: Ottawa, $440 million, and Quebec, $380 million. Now, believe it or not, it took a little over two years for Ottawa and Quebec to agree on the programs and on their respective roles. Five years after this agreement was signed, the two governments had spent only $281 million, that is to say a mere 34 per cent of the $820 million agreed to. This is a far cry from what was expected as the result of this allocation of funds.</p>\n<p>The overlapping of services also increases the burden on individuals and companies seeking access to the programs and services offered. A lot of energy is wasted just to find one's way through this regulatory and administrative maze. I think that since we have been elected, everybody realized that, because it took us a few months just to learn to know all the existing programs. As I said, we are wasting a lot of energy just to make our way through this administrative maze.</p>\n<p>When a firm wants to make a plan for the development of its human resources, for example, it has to convince both the</p>\n<p>professional employees from the federal government and the people from the Société québécoise de la main-d'oeuvre in order for its employee placement plan or employment assistance committees to be implemented. Small businesses often have to pass on to consumers the costs of the redundant representations they make to both governments. Without realizing it, consumers end up paying for the cost of federalism through an intermediary.</p>\n<p>Keeping up with programs and services is in itself an important additional cost for individual businesses. Furthermore, the few sessions held by the industry committee allowed me to realize that it was a problem felt throughout Canada.</p>\n<p>An ENAP study found that out of a sample of 221 federal programs and 244 Quebec programs, 197 overlapped to various degrees and were seriously jeopardizing the efforts to enhance the management of government policies.</p>\n<p>For example, the following sectors, among the most depressed in the Canadian economy, accounted for more than 75 p. 100 of all the program overlaps between the federal government and the Quebec government: fisheries, housing, education, secondary industries, financial markets, territorial management, labour and employment, and of course regional development.</p>\n<p>These overlappings also reduce the control citizens have on their government. As a result of this competition between governments, no government alone has the ability to carry out projects that have been undertaken, while allowing each governement to throw the ball back into the other's court.</p>\n<p>Citizens do not directly pay for the programs available to them and cannot avoid paying for a program which they feel is less satisfactory. What is ultimately questioned is the principle that a person who pays taxes has the right to be represented. Under the Canadian system, taxes paid to one government are often spent by another government, whose criteria do not necessarily coincide with the other's criteria. This may explain the lack of confidence voters have shown in the Canadian electoral system and their elected representatives.</p>\n<p>Competition between governments seldom improves the quality of the services they offer, because governments do not operate in the same way as the private sector. The constraints are not the same.</p>\n<p>The government's other objective is to deal with the poor management practices observed and criticized annually by the Auditor General of Canada. Horror stories aside, we should pay particular attention to the substantive recommendations made by the Auditor General. To ensure that the situation is corrected, we suggest a careful follow-up of these recommendations in order to return control over the budgetary process to Parliament. Members can then be heard before decisions are finalized and can influence those decisions, with the help of adequate information on the use of public funds by departments and Crown corporations.</p>\n<p>This year again, the Auditor General's report criticized departments for their lack of emphasis on program evaluation. In 1991-92, expenditures for 16 programs totalled $124.5 billion, and only two of these programs were given a thorough evaluation.</p>\n<p>We cannot tolerate taxpayers' money being spent without an evaluation of the efficiency and effectiveness of the activities involved. It is necessary to do the right thing and to do it right. One must be able to evaluate what is being done. On the basis of the information for 1991-92, the Auditor General observed that over a seven-year period, only 18 per cent of the programs had been evaluated.</p>\n<p>Considering the urgency and seriousness of the situation, the Bloc Quebecois is asking the government to strike a multiparty committee of the House of Commons with a mandate to examine all the government's operating budgets. The government must guarantee this review of government spending will be an open and transparent process.</p>\n<p>To ensure that the instruments required to provide for sound management of public spending are put in place, the government should undertake to react officially and promptly to the committee's recommendations.</p>\n<p>There are many avenues to explore, but for this exercise to be successful, parliamentarians must lead the way. Ministers, members, senior officials and all other players in the administrative apparatus must realize there is an urgent need for a change in attitude, from "it does not matter, the government is paying" to "this is everybody's money and I must ensure it is used effectively".</p>\n<p>By carefully examining operating budgets, we should be able to eliminate a number of obsolete programs that have continued to exist by sheer force of habit.</p>\n<p>The most striking example is military expenditures. We approved the cancellation of the helicopter contract, but we believe the government is engaging in the same kind of non-productive expenditures by not transferring the high-technology jobs involved into a really comprehensive project and by letting them go instead, thereby increasing unemployment insurance costs.</p>\n<p>We think it would be possible to reduce defence expenditures by 25 per cent, that is an amount of $3 billion.</p>\n<p>Another example we should look at is the natural tendency to self-justification within the bureaucratic machine. The first thing that comes to mind is the considerable amount of energy and resources spent for the preparation of perfect forms and detailed instructions, even before anyone knows who the users will be. Please let us not put the blame on those who already</p>\n<p>have trouble enough surviving the financial crisis; they are only the victims.</p>\n<p>On that point, tax expert Yves Séguin said that the fat in social programs was much leaner than the fat on the other side; that there were more savings to be made by curbing waste than by cutting social programs because, except in cases of gross abuse, these are not overly generous in the first place.</p>\n<p>Why is the Bloc Quebecois putting so much energy in this fight against waste if it wants Quebec to redefine its relationship with Canada? Simply because it is the wish of everybody in this country and particularly of taxpayers who pay their income tax regularly and keep the system going. But also because Canada and Quebec cannot look ahead to any kind of future if they do not succeed in curbing that monster the federal system helped create.</p>	12	1668	73	f		\N						paul-crete-2	/debates/1994/2/10/paul-crete-2/
202007	2106	2000-03-27 19:00:00-05	Government Orders	Division No. 1231	\N	Some hon. members	<p>No.</p>	334	1	\N	f		\N						some-hon-members-18	/debates/2000/3/27/some-hon-members-18/
195057	2097	2000-03-13 11:50:00-05	Private Members' Business	Westray Mine	\N	Some hon. members	<p>No.</p>	12	1	\N	f		\N						some-hon-members-3	/debates/2000/3/13/some-hon-members-3/
321448	1652	2004-04-19 16:40:00-04	Government Orders	Budget Implementation Act, 2004	\N	The Acting Speaker (Mr. Bélair)	<p>Before we continue the debate, pursuant to Standing Order 38, it is my duty to inform the House that the question to be raised tonight at the time of adjournment is as follows: the hon. member for Sherbrooke, Environment.</p>	196	39	\N	t		\N						the-acting-speaker-mr-belair-7	/debates/2004/4/19/the-acting-speaker-mr-belair-7/
307125	1805	2003-10-06 12:05:00-04	Private Members' Business	Income Tax Act	\N	The Acting Speaker (Mr. Bélair)	<p>All those in favour of the motion will please say yea.</p>	12	11	\N	t		\N						the-acting-speaker-mr-belair-3	/debates/2003/10/6/the-acting-speaker-mr-belair-3/
297457	1769	2003-05-08 10:10:00-04	Routine Proceedings	Questions on the Order Paper	\N	Some hon. members	<p>Agreed.</p>	12	1	\N	f		\N						some-hon-members-1	/debates/2003/5/8/some-hon-members-1/
296519	1765	2003-05-02 10:20:00-04	Government Orders	Parliament of Canada Act	1559	Mr. Ken Epp	<p>--but the problem is exactly the same in that the power is all exercised by the Prime Minister.</p>\n<p>The hon. member opposite who just spoke indicated that government members would like this passed really quickly. He is hoping that he can send it back to committee.</p>\n<p>Having been one of the members on that committee, I would like to report here that it has been a really great experience. I have really come to respect the people from all parties who have worked on the procedure and House affairs subcommittee where we studied this bill and put together this report and the recommendations.</p>\n<p>However, when the government House leader indicates that it was all unanimous, it was not without a lot of convulsions. It was not without a whole bunch of really deep concerns and the largest concern is undoubtedly the method of appointment of the ethics commissioner for the House of Commons.</p>\n<p>It is true that the report was unanimous in the sense that we chose not to file a dissenting report. However, the reason for doing so was that we were told our requirement to have a super majority or a double majority to approve that ethics commissioner for the House of Commons would have required a change in the Constitution since the Constitution says that all votes in the House of Commons are decided by a simple majority.</p>\n<p>We would really like to see the ethics commissioner have a higher level of approval because of the fact that this officer of Parliament would be unique in the sense that he or she is going to have jurisdiction over individual members of Parliament from all political parties. It is absolutely mandatory that the ethics commissioner have the support of all members in the House, not just the Liberal government.</p>\n<p>Let us review what <a href="/bills/568/" class="related_link legislation" title="An Act to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence">Bill C-34</a> does in terms of the appointment process and the ratification process on reappointment. It has a serious flaw. If everybody were wonderful and getting along with each other, there would not be a problem. People are congenial and they are kind and nice, and we would like to think that where it requires that the Prime Minister consult with leaders of other parties in the House prior to putting forward a name, that is in essence all very well. But all the bill says is that there shall be consultation with the leaders of the other parties in the House. There is absolutely no requirement in the bill that those leaders agree or that the majority agrees on the appointee being put forward. All it states is that there shall be consultation.</p>\n<p>With a lack of definition of what consultation means, and without actually specifying that there be some degree of agreement on it, this really could turn out to be quite a sham. The Prime Minister could pick someone he wants and then talk to each of the House leaders and ask them what they think. It would not matter what they think or say about that person in response, the Prime Minister could say he has consulted, that he met the requirements of the act.</p>\n<p>Further, <a href="/bills/568/" class="related_link legislation" title="An Act to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence">Bill C-34</a> states that there is to be a ratifying vote in the House of Commons. Here again, we have observed that in a majority government, like the Liberals we have had here for the last nine and a half years, these Liberals tend to vote pretty well the way the Prime Minister wants them to, as directed by the party whip. So there is the possible scenario of the Prime Minister choosing someone objectionable, then talking about that individual with the other House leaders, and that would be as far as that goes; then he could then come in here and tell his members, “Hey, if you want to get out early, vote in favour of the appointee I am putting forward”. So either by persuasion, by hanging out a carrot, or by some whipping by the whip, the Liberals would get their majority vote and the commissioner would be in place.</p>\n<p>Yesterday I talked to somebody about what would happen if I were offered this position, although I do not think it will happen because of other disqualifications, namely in the area of language, so I am disqualified from most of these positions in our country. But if I were offered this position and in a vote in the House of Commons the majority government voted in favour of my appointment but all other parties voted against it, I would feel obliged to thank the Prime Minister for his offer but decline the position. I hope the person offered the position will have that same degree of honour in accepting it. It is absolutely mandatory when this person is going to delve into our personal lives as members of Parliament on both sides of the House that the person have integrity and the trust of all members of Parliament.</p>\n<p>Even though the actual double vote is probably impossible because it would require a change in the Constitution, I would hopefully expect that there would be a very high degree of support for this person upon appointment.</p>\n<p>Now here is the dilemma, Mr. Speaker: My time is up and of course I would like to speak for another hour or so on this topic because I have covered only one of about eighteen objections. However, it will go to committee and hopefully we will have some good work there.</p>	12	957	99	f		\N						ken-epp-3	/debates/2003/5/2/ken-epp-3/
265088	2012	2002-05-09 16:10:00-04	Government Orders	Payment Clearing and Settlement Act	2745	Hon. Ralph Goodale (for the Minister of Finance)	<blockquote>\n<p>moved that the bill be read the third time and passed.</p>\n</blockquote>	218	12	121	f		\N						ralph-goodale-5	/debates/2002/5/9/ralph-goodale-5/
259534	1990	2002-04-09 10:35:00-04			\N		<p>The House resumed from March 22 consideration of the motion that Bill C-47, an act respecting the taxation of spirits, wine and tobacco and the treatment of ships' stores, be read the second time and referred to a committee.</p>	12	39	\N	f		\N						procedural-1	/debates/2002/4/9/procedural-1/
247456	1940	2001-11-20 10:30:00-05	Government Orders	Foreign Missions and International Organizations Act	1608	Mr. Brian Pallister (Portage—Lisgar, Canadian Alliance)	<p>Mr. Speaker, of course our position is that the bill is ill-timed and had little legitimacy in its entirety before September 11, but certainly none thereafter. This amendment tries to, in part at least, scrap the bill. In that respect we would support the amendment.</p>\n<p>The reality is that the case the government has tried to make with the bill is very weak. In fact, the member who just spoke was quite wrong. Several people who testified at our committee attested to that fact. They did not see why there would be a compelling need for us to bring people into this country, give them immunity, yet they could potentially be security risks in advance of their coming. It is one thing to let people in who are security risks. It is quite another to then say that once they are here there will be no consequences to them of the laws of the country. Those are things which fly in the face of the realities of the security agenda of which the government claims to be in pursuit.</p>\n<p>Let us talk for a second about some of the myths around the bill itself. The government is saying that it is trying to keep up to other countries. Our investigation has shown that other countries do not go to the extent we do to extend diplomatic immunity. In fact, we go well beyond the Vienna convention.</p>\n<p>The Vienna convention of 1961, in which Canada played a very important role, does not require us to extend complete diplomatic immunity beyond senior diplomatic staff. Yet Canada has extended complete immunity well beyond the requirements of the Vienna convention.</p>\n<p>Increasingly, under this government, we have allowed people to benefit from complete diplomatic immunity who would not be entitled to it in the United Kingdom or in the United States of America. As a matter of fact, the direction of a few of our allies is quite the opposite to that of our government. Their direction is to stiffen requirements and to monitor more greatly and more efficiently the missions which go to their country. They certainly do not, in a broad based way, extend diplomatic immunity to visitors to their countries, as this government is proposing to do under the bill.</p>\n<p>Under the bill, the government is trying to broaden greatly the extension of diplomatic immunity to visitors to our country for international meetings and then to legitimize the increased use of the RCMP to police such events. In other words, in the absence of the extension of diplomatic immunity, the case for broadening the powers of the RCMP would be somewhat weakened. In so doing, the government is extending more greatly the risk to Canadians that people who commit criminal acts in our country would not be responsible under Canadian law to bear the consequences of such acts. Even people who come to our country for a few days as part of a delegation would be placed above Canadian law.</p>\n<p>Many members of the House and many Canadians are familiar with the tragic situation of Catherine MacLean, who died some months ago as a result of a drunken Russian diplomat who could not be prosecuted under Canadian law. There are many other such cases. In fact, we are aware now of over 90 cases in the last five and a half years where people, whom this government has made immune or above Canadian law, cannot be prosecuted. We see that as a problem.</p>\n<p>Yesterday the minister said that it was not a problem. He said that the member for Cumberland--Colchester was creating a false impression that diplomats were running around breaking the laws. That is the right impression. Good for him for creating that impression because one case in every month people in the diplomatic corps are given immunity in this country, while Canadian victims are left behind when those crimes are committed.</p>\n<p>The Department of Foreign Affairs has asked that immunity be waived numerous times and that is good. However, it is very rare that diplomatic immunity is waived. It would be better for the department to make sure it limited the scope of diplomatic immunity to the Vienna convention in the first place so it would not have to ask for forgiveness. Instead foreign delegations would have to ask for permission. In other words, the diplomatic immunity that the government has been extending far too broadly has resulted in Canadian victims of crimes committed by people in foreign delegations.</p>\n<p>The members opposite sneer at times but they should recognize that the definitions under the Vienna convention and the compromise that was reached in 1961 was called the Canadian compromise. The Canadian compromise said that diplomatic immunity would not be extended completely and full to all members of missions. Certainly there was no reference to visitors of delegations to countries for a couple of days. Instead it said that diplomatic immunity would be limited. It would be complete for senior staff and partial for people who were not in the senior staff.</p>\n<p>Our practice, under this government, has been to broaden the application of diplomatic immunity. The consequence is that people who should not be put above the law are. If they will not come here from foreign countries for international meetings without diplomatic immunity maybe they should not come. Maybe the reality is we do not need to extend complete diplomatic immunity to host meetings. We just hosted a G-20 meeting. I do not recall people saying they would not come here because they were not put above the laws. I do not hear a hue and cry from anyone.</p>\n<p>We have talked to numerous people in other countries who say that Canada already is a much better host and has a reputation for being a tremendous host for these international meetings than most other countries in the world. When I ask them why Canada is extending diplomatic immunity more broadly, they do not know or understand. There is no hue and cry from them for us to develop a tourism industry based on putting people above the law.</p>\n<p>The bill in its entirety is ill-timed and was ill-timed before September 11. Certainly since September 11, it has no place in this House.</p>\n<p>The member from the Bloc has raised concerns by way of her amendment. She has asked that clause 5, which references broadening and expanding the role of the RCMP, be deleted from the bill. The difficulty is this.</p>\n<p>The RCMP mandate is broadened because of the extension of greater diplomatic immunity under the bill. The extension of greater diplomatic immunity means that the RCMP is given authority under clause 5 to police events where immunity is present and relevant. If the diplomatic immunity was not so broadened, then the powers of the RCMP would not be so broadened. However the reality is that under this bill the greater extension of diplomatic immunity permits the RCMP to prevail where such was not the case before.</p>\n<p>The concern we have is this disregards the report of Justice Hughes which followed the APEC spectacle, pepper on my plate, et cetera and Jean Carle attempting to manipulate the RCMP. In his recommendations Justice Hughes said that he wanted to see it codified that the RCMP would not be at the beckon call of the government, that it would be depoliticized. Yet the bill broadens the RCMP powers more widely than is currently the case. There is no reference whatsoever as to how we would keep this government or any future government from meddling with the operations of the RCMP.</p>\n<p>What we have is a case of broadening the RCMP powers, while at the same time refusing to separate political influence from such broadening. What that means is by passing this legislation, the government broadens its ability to influence the conduct of the RCMP at many more events than is currently the case. That flies in the face entirely of the $7 million that taxpayers were required to spend to compile the Hughes report. It flies entirely in the face of what I believe that most Canadians would like to see happen.</p>\n<p>There are numerous other problems with the bill, but certainly the amendment itself in a small way would limit the damage that would occur as a result of the bill be passed.</p>\n<p>In closing, had the amendment by the member for Cumberland--Colchester come forward, and it would have been great if it had, it would have supported what the minister himself said last year after the death of Catherine MacLean. He committed that his department would report, not half yearly but quarterly, any infractions or violations of diplomatic immunity. That reporting has not taken place, but the minister committed to it. By adopting that amendment, we would simply be allowing the minister to keep his word. As it is, the minister's word has been broken and the committee voted to do that. That is a shame.</p>	12	1496	4246	f		\N						brian-william-pallister-1	/debates/2001/11/20/brian-william-pallister-1/
645342	388	2008-02-14 13:45:00-05	Government Orders	Canada Elections Act	1535	The Acting Speaker (Mr. Andrew Scheer)	<p data-HoCid="906856" data-originallang="en">Questions and comments, the hon. member for Nipissing—Timiskaming.</p>	100	8	256	t		81500	<p data-HoCid="906856" data-originallang="en"> Questions et observations. Le député de Nipissing—Timiskaming a la parole. </p>			p906856	Mr. Andrew Scheer	the-acting-speaker-13	/debates/2008/2/14/the-acting-speaker-13/
264856	2011	2002-05-08 18:00:00-04	Private Members' Business	Health Care Spending	\N	The Acting Speaker (Mr. Bélair)	<p>I remind hon. colleagues that cellphones are not allowed in the House. In the last 15 minutes I have heard two of them. I ask members to please abide by the rules.</p>	164	32	\N	t		\N						the-acting-speaker-mr-belair-2	/debates/2002/5/8/the-acting-speaker-mr-belair-2/
264857	2011	2002-05-08 18:00:00-04	Private Members' Business	Health Care Spending	3277	Mr. Réal Ménard (Hochelaga--Maisonneuve, BQ)	<p>Mr. Speaker, I assure you I have no cell phone, and some members of my party fault me for that. You can see, however, that it might help us continue the debate.</p>\n<p>I congratulate the hon. member from Halifax for her pertinent motion. I cannot resist pointing out, however, that since this is private members' business, we are in an extremely problematical situation. We have to remember that the government has made use of its majority to deeply undermine parliamentary democracy—this we know—by defeating a private member's bill that was deemed votable.</p>\n<p>I plan to remind hon. members of this every time I rise, in support of a colleague who has made use of this vehicle in order to do our work as legislators, when it comes down to it.</p>\n<p>Basically, we have no problem with the motion. I understand that there are four million Canadians who suffer to varying degrees from some form of arthritis.</p>\n<p>Arthritis is a sneaky disease. One day, a person can be severely affected, and the next quite fine. People with this disease have no way of predicting what their condition will be next. There is one thing about arthritis that differentiates it from other things like diabetes or heart disease. There is a shortage of rheumatologists. This will hold true for the next few years. We are faced with the challenge of proper manpower planning in the health field.</p>\n<p>As we know, this is National Nursing Week. I will therefore take this opportunity to thank them. I have met in my office with nurses and their official spokespersons. They have reminded me—perhaps something we have a tendency to lose sight of—that in the health system nurses perform 75% of billable services that are delivered by health professionals.</p>\n<p>They deserve our recognition. Nurses play a vital and central role in our health system. They fulfill that role under difficult conditions, because all governments have slashed health budgets. As we have said and keep on saying: the federal government has cut $25 billion in transfer payments.</p>\n<p>It is easy to imagine what that means. In Quebec alone, it means an annual shortfall of $2.5 billion in health care funding because of the federal government's cutbacks.</p>\n<p>In a federal system, it is impossible to think that what one government does will not affect the other. The situation is even more iunbelievable in view of the absolutely huge surpluses.</p>\n<p>Yes, it is true that a little must go to Radio-Canada. A little must go to a number of other crown corporations. However, we certainly have an obligation to ensure the provinces can assume their responsibilities.</p>\n<p>Arthritis is a disease affecting four million Canadians of all ages, but particularly those who are getting older. It can reduce one's dexterity and mobility. It is without a doubt an extremely painful disease.</p>\n<p>The member from Halifax spoke of arthritis and the fact that so many Canadians suffer from it to remind us of which principles should guide us, as legislators, in our approach to health care.</p>\n<p>Through her motion, the member from Halifax is asking us, as parliamentarians, to recognize that each patient has the right to a timely diagnosis. I understand her point. In the case of arthritis, as for any other disease, it is easy to understand that early diagnosis is best.</p>\n<p>The parliamentary secretary will agree with me, given that he is a former gastroenterologist—if I am not mistaken—which means he treated disorders of the colon and small intestine, basically of the entire digestive system.</p>\n<p>The Parliamentary Secretary will agree that the earlier the diagnosis, the easier it is to take measures, find a cure or the appropriate medication.</p>\n<p>This is what the member for Halifax is calling for, and we wholeheartedly support the first paragraph of her motion.</p>\n<p>She also refers to medications. This is interesting, since, as health critic, I have read in numerous studies about the pressure that is being felt in the different components of the health care system.</p>\n<p>Allow me to quote a figure. Together, the provinces and the federal government spent $56 billion last year. This is nothing to sneeze at. It is a considerably large share of our collective wealth.</p>\n<p>In the next ten years, which is not very far off, we will need to invest between $80 and $90 billion in the health care system. Why? If in 2003, the Government of Quebec wants to provide the same services, without adding any new services, without acquiring any new medical technologies, it will have to allocate another 5% of its budget to health care. Imagine that. No government can maintain this rate of increased spending.</p>\n<p>Which brings us to the motion moved by the memberffrom Halifax. We need to think about the cost of drugs. Right now, the largest expense, the single greatest factor contributing to increasing costs in our health care system is drug costs. We need to think about what we want to do about this.</p>\n<p>For example, many new drugs are introduced. The Patented Medicine Prices Review Board was established by the Tories. We must acknowledge that they had the forethought to look in depth into the whole issue of intellectual property. If memory serves me well, it was <a href="/bills/178/" class="related_link legislation" title="An Act to amend the Income Tax Act, the Income Tax Application Rules, certain Acts related to the Income Tax Act, the Canada Pension Plan, the Customs Act, the Excise Tax Act, the Modernization of Benefits and Obligations Act and another Act related to the Excise Tax Act">Bill C-22</a>, which then became Bill C-91.</p>\n<p>Obviously a country such as Canada, like other countries around the world, needs an extremely active research sector in biotechnology.</p>\n<p>At the same time, it must be recognized that about twenty new drugs are introduced every year. This creates pressure because our fellow citizens are informed. The Patented Medicine Prices Review Board has a mandate to look at whether the cost of drugs is higher than inflation. This is then averaged with the most developed countries, countries in the G-8. It is true that the drug costs in Canada are not higher than elsewhere but, at the same time, because many new drugs are introduced, consumers and patients press for access to them.</p>\n<p>It has been established that drugs are the costliest for the health system in the two years following their introduction. For example, I have learned that big pharmaceutical companies, brand name companies, which do research, are lobbying members of parliament so that drugs can be advertised on television like in the United States.</p>\n<p>I saw an advertisement for Viagra. You will tell me, Mr. Speaker, that Viagra is a dangling affair. However, if one lived in a society where most drugs were advertised, can one imagine the pressure on the system? We have to resist this lobby.</p>\n<p>In conclusion, we support the New Democratic Party motion and we urge the government to restore transfer payments to their 1993-94 level, with indexation. If the provinces have the means, there can be more research on drugs. With more research and greater means, there can be more drugs covered, and that will contribute to the well-being of people with arthritis.</p>	165	1197	198	f		\N						real-menard-2	/debates/2002/5/8/real-menard-2/
